Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.04048,,Cancel,46801891,,,-1000,,,
0.040549,,Insert,46803403,0,A,1000,37620,G,
0.040573,,Cancel,46802895,,,-1000,,,
0.040573,,Insert,46803411,0,B,1000,34932,G,
0.042467,,Cancel,46802799,,,-170,,,
0.042469,,Cancel,46802807,,,-110,,,
0.042482,,Insert,46803767,0,A,3000,37619,G,
0.042506,,Cancel,46802863,,,-1000,,,
0.042518,,Cancel,46803291,,,-8000,,,
0.04253,,Insert,46803791,0,A,1000,37619,G,
0.042547,,Cancel,46802867,,,-1000,,,
0.042551,,Cancel,46803767,,,-3000,,,
0.042577,,Cancel,46802887,,,-1000,,,
0.042577,,Insert,46803835,0,A,1000,40201,G,
0.042714,,Insert,46803859,0,A,4000,37621,G,
0.045188,,Insert,46804235,0,A,1000,37619,G,
0.045595,,Cancel,46803411,,,-1000,,,
0.045595,,Insert,46804267,0,B,1000,34931,G,
0.048861,,Insert,46804783,0,B,1000,37617,G,
0.0489,,Insert,46804791,0,B,3000,37610,G,
0.049006,,Insert,46804819,0,A,40,37619,G,
0.049142,,Insert,46804859,0,A,1000,37628,G,
0.049156,,Insert,46804867,0,A,1000,37628,G,
0.049247,,Insert,46804891,0,B,1000,37617,G,
0.049278,,Cancel,46803835,,,-1000,,,
0.049278,,Insert,46804899,0,A,1000,40200,G,
0.049529,,Insert,46804963,0,A,4000,37620,G,
0.049536,,Insert,46804971,0,A,8000,37619,G,
0.049942,,Cancel,46804791,,,-3000,,,
0.051675,,Insert,46805291,0,A,8000,37619,G,
0.051682,,Cancel,46802731,,,-4000,,,
0.051682,,Insert,46805295,0,B,4000,37614,G,
0.051682,,Insert,46805303,0,A,1000,37618,G,
0.051686,,Insert,46805307,0,A,3000,37619,G,
0.051714,,Cancel,46804971,,,-8000,,,
0.051714,,Cancel,46805291,,,-8000,,,
0.05174,,Cancel,46804859,,,-1000,,,
0.051741,,Insert,46805323,0,A,1000,37618,G,
0.051753,,Cancel,46805307,,,-3000,,,
0.051769,,Cancel,46804867,,,-1000,,,
0.051883,,Cancel,46805303,,,-1000,,,
0.055335,,Insert,46806103,0,A,1000,37636,G,
0.055802,,Cancel,46806103,,,-1000,,,
0.055802,,Insert,46806259,0,A,1000,37635,G,
0.055831,,Insert,46806291,0,B,280,37616,G,
0.055906,,Cancel,46802767,,,-80,,,
0.055915,,Cancel,46804783,,,-1000,,,
0.055986,,Cancel,46804891,,,-1000,,,
0.056043,,Insert,46806491,0,B,1000,37607,G,
0.056051,,Insert,46806495,0,A,1000,37618,G,
0.056063,,Insert,46806503,0,B,1000,37607,G,
0.056109,,Cancel,46804819,,,-40,,,
0.056642,,Cancel,46804267,,,-1000,,,
0.056642,,Insert,46806879,0,B,1000,34930,G,
0.056741,,Insert,46806931,0,A,1000,37617,G,
0.05677,,Cancel,46800731,,,-1000,,,
0.056777,,Insert,46806943,0,A,3000,37619,G,
0.056879,,Cancel,46804899,,,-1000,,,
0.056879,,Insert,46807027,0,A,1000,40199,G,
0.057186,,Insert,46807163,0,A,1000,37617,G,
0.057191,,Insert,46807167,0,A,60,37618,G,
0.057259,,Insert,46807215,0,B,1000,37616,G,
0.057299,,Insert,46807239,0,A,1000,37617,G,
