Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
2.25,Random player,Hedge,15,0,A,9,100.0,,
2.266,Random player,Cancel,15,,,-1,,,
2.266,Random player,Cancel,16,,,-1,,,
2.266,Extorter,Cancel,15,,,-10,,,
2.266,Extorter,Cancel,16,,,-10,,,
2.266,Extorter,Insert,17,1,B,10,100,G,
2.266,Extorter,Insert,18,1,A,10,101,G,
2.266,Random player,Insert,17,1,B,10,100,G,
2.266,Random player,Insert,18,1,A,10,101,G,
2.5,,Insert,22,1,B,9,101,G,
2.5,Extorter,Trade,18,1,A,9,101,,-18
2.5,Extorter,Hedge,18,0,B,9,100.0,,
2.5,,Insert,23,1,A,9,99,G,
2.5,Extorter,Trade,17,1,B,9,100,,-18
2.5,Extorter,Hedge,17,0,A,9,100.0,,
2.516,Extorter,Cancel,17,,,-1,,,
2.516,Extorter,Cancel,18,,,-1,,,
2.516,Random player,Cancel,17,,,-10,,,
2.516,Random player,Cancel,18,,,-10,,,
2.516,Extorter,Insert,19,1,B,10,100,G,
2.516,Extorter,Insert,20,1,A,10,101,G,
2.516,Random player,Insert,19,1,B,10,100,G,
2.516,Random player,Insert,20,1,A,10,101,G,
2.75,,Insert,24,1,B,9,101,G,
2.75,Extorter,Trade,20,1,A,9,101,,-18
2.75,Extorter,Hedge,20,0,B,9,100.0,,
2.75,,Insert,25,1,A,9,99,G,
2.75,Extorter,Trade,19,1,B,9,100,,-18
2.75,Extorter,Hedge,19,0,A,9,100.0,,
2.766,Extorter,Cancel,19,,,-1,,,
2.766,Extorter,Cancel,20,,,-1,,,
2.766,Random player,Cancel,19,,,-10,,,
2.766,Random player,Cancel,20,,,-10,,,
2.766,Extorter,Insert,21,1,B,10,99,G,
2.766,Extorter,Insert,22,1,A,10,100,G,
2.766,Random player,Insert,21,1,B,10,99,G,
2.766,Random player,Insert,22,1,A,10,101,G,
3.0,Random player,Cancel,21,,,-10,,,
3.0,Random player,Cancel,22,,,-10,,,
3.0,Extorter,Cancel,21,,,-10,,,
3.0,Extorter,Cancel,22,,,-10,,,
3.0,Extorter,Insert,23,1,B,10,99,G,
3.0,Extorter,Insert,24,1,A,10,101,G,
3.0,Random player,Insert,23,1,B,10,100,G,
3.0,Random player,Insert,24,1,A,10,101,G,
3.0,,Insert,26,1,B,9,101,G,
3.0,Extorter,Trade,24,1,A,9,101,,-18
3.0,Extorter,Hedge,24,0,B,9,100.0,,
3.0,,Insert,27,1,A,9,99,G,
3.0,Random player,Trade,23,1,B,9,100,,-18
3.0,Random player,Hedge,23,0,A,9,100.0,,
3.25,,Insert,28,1,B,9,101,G,
3.25,Extorter,Trade,24,1,A,1,101,,-2
3.25,Extorter,Hedge,24,0,B,1,100.0,,
3.25,Random player,Trade,24,1,A,8,101,,-16
3.25,Random player,Hedge,24,0,B,8,100.0,,
3.25,,Insert,29,1,A,9,99,G,
3.25,Random player,Trade,23,1,B,1,100,,-2
3.25,Random player,Hedge,23,0,A,1,100.0,,
3.25,Extorter,Trade,23,1,B,8,99,,-16
3.25,Extorter,Hedge,23,0,A,8,100.0,,
3.266,Extorter,Cancel,23,,,-2,,,
3.266,Random player,Cancel,24,,,-2,,,
3.266,Extorter,Insert,25,1,B,10,100,G,
3.266,Random player,Insert,25,1,B,10,100,G,
3.266,Random player,Insert,26,1,A,10,101,G,
3.266,Extorter,Insert,26,1,A,10,101,G,
3.5,,Insert,30,1,B,9,101,G,
3.5,Random player,Trade,26,1,A,9,101,,-18
3.5,Random player,Hedge,26,0,B,9,100.0,,
3.5,,Insert,31,1,A,9,99,G,
3.5,Extorter,Trade,25,1,B,9,100,,-18
3.5,Extorter,Hedge,25,0,A,9,100.0,,
3.516,Extorter,Cancel,25,,,-1,,,
3.516,Extorter,Cancel,26,,,-10,,,
3.516,Random player,Cancel,25,,,-10,,,
3.516,Random player,Cancel,26,,,-1,,,
3.516,Extorter,Insert,27,1,B,10,100,G,
3.516,Extorter,Insert,28,1,A,10,101,G,
3.516,Random player,Insert,27,1,B,10,99,G,
3.516,Random player,Insert,28,1,A,10,100,G,
3.516,Extorter,Trade,27,1,B,10,100,,-20
3.516,Extorter,Hedge,27,0,A,10,100.0,,
3.516,Random player,Trade,28,1,A,10,100,,40
3.516,Random player,Hedge,28,0,B,10,100.0,,
3.75,Random player,Cancel,27,,,-10,,,
3.75,Extorter,Cancel,28,,,-10,,,
3.75,Extorter,Insert,29,1,B,10,99,G,
3.75,Extorter,Insert,30,1,A,10,101,G,
3.75,Random player,Insert,29,1,B,10,100,G,
3.75,Random player,Insert,30,1,A,10,101,G,
3.75,,Insert,32,1,B,9,101,G,
3.75,Extorter,Trade,30,1,A,9,101,,-18
3.75,Extorter,Hedge,30,0,B,9,100.0,,
3.75,,Insert,33,1,A,9,99,G,
3.75,Random player,Trade,29,1,B,9,100,,-18
3.75,Random player,Hedge,29,0,A,9,100.0,,
4.0,,Insert,34,1,B,9,101,G,
4.0,Extorter,Trade,30,1,A,1,101,,-2
4.0,Extorter,Hedge,30,0,B,1,100.0,,
4.0,Random player,Trade,30,1,A,8,101,,-16
4.0,Random player,Hedge,30,0,B,8,100.0,,
4.0,,Insert,35,1,A,9,99,G,
4.0,Random player,Trade,29,1,B,1,100,,-2
4.0,Random player,Hedge,29,0,A,1,100.0,,
4.0,Extorter,Trade,29,1,B,8,99,,-16
4.0,Extorter,Hedge,29,0,A,8,100.0,,
4.016,Random player,Cancel,30,,,-2,,,
4.016,Extorter,Cancel,29,,,-2,,,
4.016,Extorter,Insert,31,1,B,10,99,G,
4.016,Extorter,Insert,32,1,A,10,101,G,
4.016,Random player,Insert,31,1,B,10,100,G,
4.016,Random player,Insert,32,1,A,10,101,G,
4.25,Random player,Cancel,31,,,-10,,,
4.25,Extorter,Cancel,31,,,-10,,,
4.25,Extorter,Cancel,32,,,-10,,,
4.25,Random player,Cancel,32,,,-10,,,
4.25,Random player,Insert,33,1,B,10,100,G,
4.25,Random player,Insert,34,1,A,10,101,G,
4.25,Extorter,Insert,33,1,B,10,99,G,
4.25,Extorter,Insert,34,1,A,10,100,G,
4.25,Random player,Trade,33,1,B,10,100,,-20
4.25,Random player,Hedge,33,0,A,10,100.0,,
4.25,Extorter,Trade,34,1,A,10,100,,40
4.25,Extorter,Hedge,34,0,B,10,100.0,,
4.25,,Insert,36,1,B,9,101,G,
4.25,Random player,Trade,34,1,A,9,101,,-18
4.25,Random player,Hedge,34,0,B,9,100.0,,
4.25,,Insert,37,1,A,9,99,G,
4.25,Extorter,Trade,33,1,B,9,99,,-18
4.25,Extorter,Hedge,33,0,A,9,100.0,,
4.5,,Insert,38,1,B,9,101,G,
4.5,Random player,Trade,34,1,A,1,101,,-2
4.5,Random player,Hedge,34,0,B,1,100.0,,
4.5,,Insert,39,1,A,9,99,G,
4.5,Extorter,Trade,33,1,B,1,99,,-2
4.5,Extorter,Hedge,33,0,A,1,100.0,,
4.516,Extorter,Insert,35,1,B,10,99,G,
4.516,Extorter,Insert,36,1,A,10,100,G,
4.516,Random player,Insert,35,1,B,10,99,G,
4.516,Random player,Insert,36,1,A,10,100,G,
4.75,,Insert,40,1,B,9,101,G,
4.75,Extorter,Trade,36,1,A,9,100,,-18
4.75,Extorter,Hedge,36,0,B,9,100.0,,
4.75,,Insert,41,1,A,9,99,G,
4.75,Extorter,Trade,35,1,B,9,99,,-18
4.75,Extorter,Hedge,35,0,A,9,100.0,,
4.766,Extorter,Cancel,35,,,-1,,,
4.766,Extorter,Cancel,36,,,-1,,,
4.766,Random player,Cancel,35,,,-10,,,
4.766,Random player,Cancel,36,,,-10,,,
4.766,Extorter,Insert,37,1,B,10,99,G,
4.766,Extorter,Insert,38,1,A,10,101,G,
4.766,Random player,Insert,37,1,B,10,100,G,
4.766,Random player,Insert,38,1,A,10,101,G,
5.0,,Insert,42,1,B,9,101,G,
5.0,Extorter,Trade,38,1,A,9,101,,-18
5.0,Extorter,Hedge,38,0,B,9,100.0,,
5.0,,Insert,43,1,A,9,99,G,
5.0,Random player,Trade,37,1,B,9,100,,-18
5.0,Random player,Hedge,37,0,A,9,100.0,,
5.016,Random player,Cancel,37,,,-1,,,
5.016,Extorter,Cancel,37,,,-10,,,
5.016,Extorter,Cancel,38,,,-1,,,
5.016,Random player,Cancel,38,,,-10,,,
5.016,Random player,Insert,39,1,B,10,99,G,
5.016,Random player,Insert,40,1,A,10,101,G,
5.016,Extorter,Insert,39,1,B,10,100,G,
5.016,Extorter,Insert,40,1,A,10,101,G,
5.25,,Insert,44,1,B,9,101,G,
5.25,Random player,Trade,40,1,A,9,101,,-18
5.25,Random player,Hedge,40,0,B,9,100.0,,
5.25,,Insert,45,1,A,9,99,G,
5.25,Extorter,Trade,39,1,B,9,100,,-18
5.25,Extorter,Hedge,39,0,A,9,100.0,,
5.266,Random player,Cancel,39,,,-10,,,
5.266,Extorter,Cancel,39,,,-1,,,
5.266,Extorter,Cancel,40,,,-10,,,
5.266,Random player,Cancel,40,,,-1,,,
5.266,Random player,Insert,41,1,B,10,99,G,
5.266,Random player,Insert,42,1,A,10,100,G,
5.266,Extorter,Insert,41,1,B,10,99,G,
5.266,Extorter,Insert,42,1,A,10,101,G,
5.5,,Insert,46,1,B,9,101,G,
5.5,Random player,Trade,42,1,A,9,100,,-18
5.5,Random player,Hedge,42,0,B,9,100.0,,
5.5,,Insert,47,1,A,9,99,G,
5.5,Random player,Trade,41,1,B,9,99,,-18
5.5,Random player,Hedge,41,0,A,9,100.0,,
5.516,Random player,Cancel,41,,,-1,,,
5.516,Extorter,Cancel,41,,,-10,,,
5.516,Extorter,Cancel,42,,,-10,,,
5.516,Random player,Cancel,42,,,-1,,,
5.516,Random player,Insert,43,1,B,10,99,G,
5.516,Random player,Insert,44,1,A,10,100,G,
5.516,Extorter,Insert,43,1,B,10,100,G,
5.516,Random player,Trade,44,1,A,10,100,,-20
5.516,Random player,Hedge,44,0,B,10,100.0,,
5.516,Extorter,Trade,43,1,B,10,100,,40
5.516,Extorter,Hedge,43,0,A,10,100.0,,
5.516,Extorter,Insert,44,1,A,10,101,G,
5.75,,Insert,48,1,B,9,101,G,
5.75,Extorter,Trade,44,1,A,9,101,,-18
5.75,Extorter,Hedge,44,0,B,9,100.0,,
5.75,,Insert,49,1,A,9,99,G,
5.75,Random player,Trade,43,1,B,9,99,,-18
5.75,Random player,Hedge,43,0,A,9,100.0,,
5.766,Random player,Cancel,43,,,-1,,,
5.766,Extorter,Cancel,44,,,-1,,,
5.766,Random player,Insert,45,1,B,10,99,G,
5.766,Random player,Insert,46,1,A,10,101,G,
5.766,Extorter,Insert,45,1,B,10,99,G,
5.766,Extorter,Insert,46,1,A,10,101,G,
6.0,Random player,Cancel,45,,,-10,,,
6.0,Random player,Cancel,46,,,-10,,,
6.0,Extorter,Cancel,45,,,-10,,,
6.0,Extorter,Cancel,46,,,-10,,,
6.0,Extorter,Insert,47,1,B,10,99,G,
6.0,Extorter,Insert,48,1,A,10,100,G,
6.0,Random player,Insert,47,1,B,10,99,G,
6.0,Random player,Insert,48,1,A,10,100,G,
6.0,,Insert,50,1,B,9,101,G,
6.0,Extorter,Trade,48,1,A,9,100,,-18
6.0,Extorter,Hedge,48,0,B,9,100.0,,
6.0,,Insert,51,1,A,9,99,G,
6.0,Extorter,Trade,47,1,B,9,99,,-18
6.0,Extorter,Hedge,47,0,A,9,100.0,,
6.25,,Insert,52,1,B,9,101,G,
6.25,Extorter,Trade,48,1,A,1,100,,-2
6.25,Extorter,Hedge,48,0,B,1,100.0,,
6.25,Random player,Trade,48,1,A,8,100,,-16
6.25,Random player,Hedge,48,0,B,8,100.0,,
6.25,,Insert,53,1,A,9,99,G,
6.25,Extorter,Trade,47,1,B,1,99,,-2
6.25,Extorter,Hedge,47,0,A,1,100.0,,
6.25,Random player,Trade,47,1,B,8,99,,-16
6.25,Random player,Hedge,47,0,A,8,100.0,,
6.266,Random player,Cancel,47,,,-2,,,
6.266,Random player,Cancel,48,,,-2,,,
6.266,Extorter,Insert,49,1,B,10,99,G,
6.266,Extorter,Insert,50,1,A,10,101,G,
6.266,Random player,Insert,49,1,B,10,99,G,
6.266,Random player,Insert,50,1,A,10,101,G,
6.5,,Insert,54,1,B,9,101,G,
6.5,Extorter,Trade,50,1,A,9,101,,-18
6.5,Extorter,Hedge,50,0,B,9,100.0,,
6.5,,Insert,55,1,A,9,99,G,
6.5,Extorter,Trade,49,1,B,9,99,,-18
6.5,Extorter,Hedge,49,0,A,9,100.0,,
6.516,Extorter,Cancel,49,,,-1,,,
6.516,Extorter,Cancel,50,,,-1,,,
6.516,Random player,Cancel,49,,,-10,,,
6.516,Random player,Cancel,50,,,-10,,,
6.516,Extorter,Insert,51,1,B,10,100,G,
6.516,Extorter,Insert,52,1,A,10,101,G,
6.516,Random player,Insert,51,1,B,10,99,G,
6.516,Random player,Insert,52,1,A,10,100,G,
6.516,Extorter,Trade,51,1,B,10,100,,-20
6.516,Extorter,Hedge,51,0,A,10,100.0,,
6.516,Random player,Trade,52,1,A,10,100,,40
6.516,Random player,Hedge,52,0,B,10,100.0,,
6.75,,Insert,56,1,B,9,101,G,
6.75,Extorter,Trade,52,1,A,9,101,,-18
6.75,Extorter,Hedge,52,0,B,9,100.0,,
6.75,,Insert,57,1,A,9,99,G,
6.75,Random player,Trade,51,1,B,9,99,,-18
6.75,Random player,Hedge,51,0,A,9,100.0,,
6.766,Random player,Cancel,51,,,-1,,,
6.766,Extorter,Cancel,52,,,-1,,,
6.766,Extorter,Insert,53,1,B,10,99,G,
6.766,Extorter,Insert,54,1,A,10,101,G,
6.766,Random player,Insert,53,1,B,10,99,G,
6.766,Random player,Insert,54,1,A,10,101,G,
7.0,Extorter,Cancel,53,,,-10,,,
7.0,Extorter,Cancel,54,,,-10,,,
7.0,Extorter,Insert,55,1,B,10,99,G,
7.0,Extorter,Insert,56,1,A,10,101,G,
7.0,Random player,Cancel,53,,,-10,,,
7.0,Random player,Cancel,54,,,-10,,,
7.0,Random player,Insert,55,1,B,10,99,G,
7.0,Random player,Insert,56,1,A,10,101,G,
7.0,,Insert,58,1,B,9,101,G,
7.0,Extorter,Trade,56,1,A,9,101,,-18
7.0,Extorter,Hedge,56,0,B,9,100.0,,
7.0,,Insert,59,1,A,9,99,G,
7.0,Extorter,Trade,55,1,B,9,99,,-18
7.0,Extorter,Hedge,55,0,A,9,100.0,,
7.25,,Insert,60,1,B,9,101,G,
7.25,Extorter,Trade,56,1,A,1,101,,-2
7.25,Extorter,Hedge,56,0,B,1,100.0,,
7.25,Random player,Trade,56,1,A,8,101,,-16
7.25,Random player,Hedge,56,0,B,8,100.0,,
7.25,,Insert,61,1,A,9,99,G,
7.25,Extorter,Trade,55,1,B,1,99,,-2
7.25,Extorter,Hedge,55,0,A,1,100.0,,
7.25,Random player,Trade,55,1,B,8,99,,-16
7.25,Random player,Hedge,55,0,A,8,100.0,,
7.266,Random player,Cancel,55,,,-2,,,
7.266,Random player,Cancel,56,,,-2,,,
7.266,Extorter,Insert,57,1,B,10,99,G,
7.266,Extorter,Insert,58,1,A,10,100,G,
7.266,Random player,Insert,57,1,B,10,100,G,
7.266,Extorter,Trade,58,1,A,10,100,,-20
7.266,Extorter,Hedge,58,0,B,10,100.0,,
7.266,Random player,Trade,57,1,B,10,100,,40
7.266,Random player,Hedge,57,0,A,10,100.0,,
7.266,Random player,Insert,58,1,A,10,101,G,
7.5,,Insert,62,1,B,9,101,G,
7.5,Random player,Trade,58,1,A,9,101,,-18
7.5,Random player,Hedge,58,0,B,9,100.0,,
7.5,,Insert,63,1,A,9,99,G,
7.5,Extorter,Trade,57,1,B,9,99,,-18
7.5,Extorter,Hedge,57,0,A,9,100.0,,
7.516,Extorter,Cancel,57,,,-1,,,
7.516,Random player,Cancel,58,,,-1,,,
7.516,Extorter,Insert,59,1,B,10,99,G,
7.516,Extorter,Insert,60,1,A,10,101,G,
7.516,Random player,Insert,59,1,B,10,99,G,
7.516,Random player,Insert,60,1,A,10,101,G,
7.75,,Insert,64,1,B,9,101,G,
7.75,Extorter,Trade,60,1,A,9,101,,-18
7.75,Extorter,Hedge,60,0,B,9,100.0,,
7.75,,Insert,65,1,A,9,99,G,
7.75,Extorter,Trade,59,1,B,9,99,,-18
7.75,Extorter,Hedge,59,0,A,9,100.0,,
7.766,Random player,Cancel,59,,,-10,,,
7.766,Extorter,Cancel,59,,,-1,,,
7.766,Extorter,Cancel,60,,,-1,,,
7.766,Random player,Cancel,60,,,-10,,,
7.766,Random player,Insert,61,1,B,10,99,G,
7.766,Random player,Insert,62,1,A,10,101,G,
7.766,Extorter,Insert,61,1,B,10,99,G,
7.766,Extorter,Insert,62,1,A,10,101,G,
8.0,,Insert,66,1,B,9,101,G,
8.0,Random player,Trade,62,1,A,9,101,,-18
8.0,Random player,Hedge,62,0,B,9,100.0,,
8.0,,Insert,67,1,A,9,99,G,
8.0,Random player,Trade,61,1,B,9,99,,-18
8.0,Random player,Hedge,61,0,A,9,100.0,,
8.016,Extorter,Cancel,61,,,-10,,,
8.016,Extorter,Cancel,62,,,-10,,,
8.016,Random player,Cancel,61,,,-1,,,
8.016,Random player,Cancel,62,,,-1,,,
8.016,Extorter,Insert,63,1,B,10,100,G,
8.016,Extorter,Insert,64,1,A,10,101,G,
8.016,Random player,Insert,63,1,B,10,100,G,
8.016,Random player,Insert,64,1,A,10,101,G,
8.25,,Insert,68,1,B,9,101,G,
8.25,Extorter,Trade,64,1,A,9,101,,-18
8.25,Extorter,Hedge,64,0,B,9,100.0,,
8.25,,Insert,69,1,A,9,99,G,
8.25,Extorter,Trade,63,1,B,9,100,,-18
8.25,Extorter,Hedge,63,0,A,9,100.0,,
8.266,Extorter,Cancel,63,,,-1,,,
8.266,Extorter,Cancel,64,,,-1,,,
8.266,Random player,Cancel,63,,,-10,,,
8.266,Random player,Cancel,64,,,-10,,,
8.266,Extorter,Insert,65,1,B,10,99,G,
8.266,Extorter,Insert,66,1,A,10,101,G,
8.266,Random player,Insert,65,1,B,10,99,G,
8.266,Random player,Insert,66,1,A,10,101,G,
8.5,,Insert,70,1,B,9,101,G,
8.5,Extorter,Trade,66,1,A,9,101,,-18
8.5,Extorter,Hedge,66,0,B,9,100.0,,
8.5,,Insert,71,1,A,9,99,G,
8.5,Extorter,Trade,65,1,B,9,99,,-18
8.5,Extorter,Hedge,65,0,A,9,100.0,,
8.516,Extorter,Cancel,65,,,-1,,,
8.516,Extorter,Cancel,66,,,-1,,,
8.516,Random player,Cancel,65,,,-10,,,
8.516,Random player,Cancel,66,,,-10,,,
